"species","lon","lat"
"Pilostigma Thonigilii/Monkey Bread",29.6207885,-16.480043
"Acacia Siebriana",29.6203985,-16.4806754
"Pilostigma Thonigilii/Monkey Bread",29.6197526,-16.4829776
"Pilostigma Thonigilii/Monkey Bread",29.6218413,-16.4813614
"Pilostigma Thonigilii/Monkey Bread",29.3655841,-16.8916262
"Pilostigma Thonigilii/Monkey Bread",29.4253688,-16.8606784
"Acacia Polycantha",29.3508861,-16.8942652
"Acacia Polycantha",29.3509229,-16.8942229
"Pilostigma Thonigilii/Monkey Bread",29.350923,-16.8942225
"Pilostigma Thonigilii/Monkey Bread",29.3518899,-16.894488
"Acacia Polycantha",29.3522194,-16.894058
"Pilostigma Thonigilii/Monkey Bread",29.3585399,-16.8921164
"Pilostigma Thonigilii/Monkey Bread",29.3643363,-16.894728
"Pilostigma Thonigilii/Monkey Bread",29.3702766,-16.8960715
"Pilostigma Thonigilii/Monkey Bread",29.3642843,-16.8918314
"Acacia Polycantha",29.3507189,-16.8940154
"Acacia Polycantha",29.3511118,-16.8940564
"Pilostigma Thonigilii/Monkey Bread",29.351264,-16.8939839
"Pilostigma Thonigilii/Monkey Bread",29.355723,-16.8928062
"Pilostigma Thonigilii/Monkey Bread",29.3637037,-16.8940124
"Pilostigma Thonigilii/Monkey Bread",29.3763938,-16.8962637
"Pilostigma Thonigilii/Monkey Bread",29.356353,-16.7621437
"Pilostigma Thonigilii/Monkey Bread",29.3549026,-16.7482942
"Acacia Polycantha",29.5534287,-16.5186408
"Pilostigma Thonigilii/Monkey Bread",29.4552727,-17.0032983
"Waterberry",29.4578108,-17.0017102
"Waterberry",29.4672175,-16.9970941
"Kigelia Africana",29.4651569,-16.9971154
"Pilostigma Thonigilii/Monkey Bread",29.45297,-17.0013262
"Pilostigma Thonigilii/Monkey Bread",29.6651655,-16.3895709
"Acacia Polycantha",29.6646246,-16.389339
"Pilostigma Thonigilii/Monkey Bread",29.6607104,-16.3895406
"Pilostigma Thonigilii/Monkey Bread",29.5780214,-16.3837888
"Pilostigma Thonigilii/Monkey Bread",29.5780214,-16.3837888
"Pilostigma Thonigilii/Monkey Bread",29.5780214,-16.3837888
"Acacia Siebriana",29.5780214,-16.3837888
"Acacia Polycantha",29.5780214,-16.3837888
"Pilostigma Thonigilii/Monkey Bread",29.5780472,-16.3838807
"Acacia Siebriana",29.5780472,-16.3838807
"Acacia Polycantha",29.5780472,-16.3838807
"Acacia Polycantha",29.5780472,-16.3838807
"Pilostigma Thonigilii/Monkey Bread",29.5951399,-16.378348
"Acacia Siebriana",29.5951905,-16.3782709
"Acacia Polycantha",29.5950416,-16.3782209
"Acacia Galpinii",29.5906167,-16.3690353
"Acacia Galpinii",29.5779281,-16.3619278
"Acacia Galpinii",29.5703853,-16.3577791
"Acacia Siebriana",29.5703435,-16.3578928
"Acacia Galpinii",29.5699323,-16.3577314
"Pilostigma Thonigilii/Monkey Bread",29.5696682,-16.3579681
"Acacia Polycantha",29.5695073,-16.3581447
"Pilostigma Thonigilii/Monkey Bread",29.569184,-16.3582538
"Munyii/Bechemia discolor",29.5687669,-16.3584503
"Acacia Polycantha",29.5684848,-16.3586973
"Pilostigma Thonigilii/Monkey Bread",29.5683261,-16.3589312
"Acacia Polycantha",29.5675178,-16.3593965
"Pilostigma Thonigilii/Monkey Bread",29.56737,-16.3596222
"Pilostigma Thonigilii/Monkey Bread",29.5670895,-16.3600758
"Pilostigma Thonigilii/Monkey Bread",29.5667697,-16.3601867
"Acacia Polycantha",29.5661452,-16.3606894
"Pilostigma Thonigilii/Monkey Bread",29.5658742,-16.3607797
"Acacia Polycantha",29.565772,-16.3605172
"Pilostigma Thonigilii/Monkey Bread",29.6402505,-16.3477927
"Pilostigma Thonigilii/Monkey Bread",29.6402505,-16.3477927
"Pilostigma Thonigilii/Monkey Bread",29.6402505,-16.3477927
"Acacia Siebriana",29.6622254,-16.3454763
"Acacia Siebriana",29.6668622,-16.3524796
"Waterberry",29.6672636,-16.3526201
"Pilostigma Thonigilii/Monkey Bread",29.6668239,-16.3524478
"Acacia Polycantha",29.6662714,-16.3522266
"Acacia Siebriana",29.6662705,-16.352227
"Acacia Polycantha",29.6737306,-16.3483333
"Kigelia Africana",29.6785636,-16.3464876
"Pilostigma Thonigilii/Monkey Bread",29.6791042,-16.3465366
"Pilostigma Thonigilii/Monkey Bread",29.6631351,-16.3377007
"Pilostigma Thonigilii/Monkey Bread",29.6865671,-16.3468246
"Pilostigma Thonigilii/Monkey Bread",29.6645837,-16.3381395
"Acacia Polycantha",29.59432,-16.3782916
"Acacia Siebriana",29.5942517,-16.3783283
"Pilostigma Thonigilii/Monkey Bread",29.5940833,-16.3785366
"Pilostigma Thonigilii/Monkey Bread",29.4165233,-16.9345283
"Pilostigma Thonigilii/Monkey Bread",29.4180638,-16.9347123
"Acacia Siebriana",29.4188479,-16.9348875
"Pilostigma Thonigilii/Monkey Bread",29.4196634,-16.935554
"Pilostigma Thonigilii/Monkey Bread",29.4195528,-16.9358463
"Waterberry",29.4192924,-16.9370313
"Pilostigma Thonigilii/Monkey Bread",29.4193807,-16.9373555
"Waterberry",29.4190943,-16.937501
"Waterberry",29.4190143,-16.9375554
"Pilostigma Thonigilii/Monkey Bread",29.42157,-16.9433768
"Pilostigma Thonigilii/Monkey Bread",29.4226059,-16.944104
"Pilostigma Thonigilii/Monkey Bread",29.4223617,-16.9438368
"Pilostigma Thonigilii/Monkey Bread",29.421352,-16.9432038
"Waterberry",29.4190124,-16.9370915
"Trichilia Emetica",29.1860658,-16.8987266
"Munyii/Bechemia discolor",29.1861694,-16.8983266
"Kigelia Africana",29.188206,-16.8948949
"Acacia Polycantha",29.3982899,-16.7822477
"Acacia Polycantha",29.3878427,-16.747912
"Acacia Polycantha",29.3861801,-16.7582085
"Kigelia Africana",29.3853052,-16.7652861
"Acacia Siebriana",29.3854808,-16.767762
"Acacia Polycantha",29.3890365,-16.7706955
"Acacia Siebriana",29.7039082,-16.3880099
"Pilostigma Thonigilii/Monkey Bread",29.7038901,-16.3883617
"Acacia Polycantha",29.704104,-16.3890766
"Acacia Polycantha",29.7067234,-16.3946836
"Pilostigma Thonigilii/Monkey Bread",29.7070595,-16.3948695
"Pilostigma Thonigilii/Monkey Bread",29.7072291,-16.3949345
"Acacia Polycantha",29.7073721,-16.3950825
"Acacia Polycantha",29.7081045,-16.395364
"Acacia Polycantha",29.7083273,-16.395428
"Acacia Polycantha",29.7087144,-16.3960225
"Acacia Polycantha",29.7087144,-16.3960224
"Acacia Polycantha",29.7087144,-16.3960224
"Acacia Polycantha",29.7087216,-16.3960293
"Acacia Polycantha",29.7087381,-16.3960352
"Acacia Polycantha",29.7087485,-16.3960438
"Acacia Polycantha",29.7087582,-16.3960516
"Acacia Polycantha",29.7087684,-16.3960583
"Acacia Polycantha",29.7087813,-16.3960643
"Acacia Polycantha",29.7087942,-16.3960695
"Acacia Polycantha",29.7088078,-16.3960766
"Acacia Polycantha",29.7088202,-16.3960841
"Acacia Polycantha",29.7088333,-16.3960902
"Acacia Polycantha",29.7088459,-16.3960948
"Acacia Polycantha",29.7088594,-16.396098
"Acacia Polycantha",29.708873,-16.396101
"Acacia Polycantha",29.708887,-16.3961044
"Acacia Polycantha",29.708901,-16.3961091
"Acacia Siebriana",29.7094685,-16.3962812
"Pilostigma Thonigilii/Monkey Bread",29.7117733,-16.3975755
"Pilostigma Thonigilii/Monkey Bread",29.3831746,-16.907093
"Kigelia Africana",29.3494051,-16.9088437
"Pilostigma Thonigilii/Monkey Bread",29.3480286,-16.911947
"Munyii/Bechemia discolor",29.3507955,-16.9174227
"Munyii/Bechemia discolor",29.3527827,-16.9197757
"Pilostigma Thonigilii/Monkey Bread",29.3553316,-16.9223475
"Kigelia Africana",29.3597945,-16.9187376
"Pilostigma Thonigilii/Monkey Bread",29.3604582,-16.9183422
"Pilostigma Thonigilii/Monkey Bread",29.3605672,-16.918229
"Pilostigma Thonigilii/Monkey Bread",29.3621792,-16.9175742
"Pilostigma Thonigilii/Monkey Bread",29.3622482,-16.9175604
"Pilostigma Thonigilii/Monkey Bread",29.3623042,-16.9175366
"Pilostigma Thonigilii/Monkey Bread",29.3626989,-16.9172541
"Pilostigma Thonigilii/Monkey Bread",29.3649734,-16.9156819
"Pilostigma Thonigilii/Monkey Bread",29.3713311,-16.9071719
"Pilostigma Thonigilii/Monkey Bread",29.6193999,-16.463324
"Acacia Siebriana",29.628038,-16.4671482
"Acacia Polycantha",29.6205683,-16.4752406
"Pilostigma Thonigilii/Monkey Bread",29.6203675,-16.4744211
"Acacia Polycantha",29.6194306,-16.4733385
"Acacia Polycantha",29.6191808,-16.4723601
"Pilostigma Thonigilii/Monkey Bread",29.6191409,-16.4715846
"Pilostigma Thonigilii/Monkey Bread",29.617706,-16.4683903
"Acacia Polycantha",29.6176142,-16.4682242
"Pilostigma Thonigilii/Monkey Bread",29.6167287,-16.4670265
"Acacia Siebriana",29.1170653,-17.0497533
"Acacia Siebriana",29.1170742,-17.0497373
"Acacia Polycantha",29.1170289,-17.0497503
"Kigelia Africana",29.1170498,-17.0497359
"Fidebhia Abida",29.1170331,-17.0497265
"Pilostigma Thonigilii/Monkey Bread",29.1170631,-17.0497232
"Munyii/Bechemia discolor",29.1170335,-17.0497369
"Acacia Polycantha",29.4170178,-16.8454773
"Acacia Siebriana",29.4174379,-16.8452326
"Acacia Polycantha",29.4178533,-16.8450295
"Acacia Polycantha",29.4197545,-16.8437477
"Acacia Siebriana",29.4202244,-16.8431861
"Acacia Siebriana",29.421945,-16.8420283
"Pilostigma Thonigilii/Monkey Bread",29.4177069,-16.3898108
"Pilostigma Thonigilii/Monkey Bread",29.4193643,-16.4044917
"Kigelia Africana",29.4429173,-16.4008296
"Acacia Siebriana",29.4441568,-16.3997973
"Acacia Polycantha",29.4564728,-16.3927908
"Pilostigma Thonigilii/Monkey Bread",29.4572475,-16.3925582
"Acacia Galpinii",29.4582989,-16.3922749
"Acacia Polycantha",29.458327,-16.391889
"Acacia Galpinii",29.4582954,-16.3912788
"Acacia Polycantha",29.4756412,-16.3808096
"Pilostigma Thonigilii/Monkey Bread",29.4590397,-16.389465
"Acacia Siebriana",29.4586124,-16.3897918
"Pilostigma Thonigilii/Monkey Bread",29.420636,-16.4042276
"Acacia Siebriana",29.4097788,-16.4010713
"Acacia Polycantha",29.5823317,-16.4277532
"Acacia Polycantha",29.5935165,-16.4316613
"Acacia Polycantha",29.5945752,-16.4313859
"Pilostigma Thonigilii/Monkey Bread",29.6050814,-16.442634
"Pilostigma Thonigilii/Monkey Bread",29.6332401,-16.3208677
"Pilostigma Thonigilii/Monkey Bread",29.6318265,-16.3235413
"Acacia Siebriana",29.6497862,-16.3156494
"Pilostigma Thonigilii/Monkey Bread",29.6361557,-16.3116158
"Kigelia Africana",29.6409514,-16.3138976
"Munyii/Bechemia discolor",29.0677817,-17.0035866
"Pilostigma Thonigilii/Monkey Bread",29.2608297,-16.9869587
"Pilostigma Thonigilii/Monkey Bread",29.2741372,-16.9841212
"Munyii/Bechemia discolor",29.275836,-16.9834749
"Acacia Polycantha",29.2845877,-16.9794826
"Acacia Siebriana",29.3143424,-16.7126898
"Pilostigma Thonigilii/Monkey Bread",29.3137764,-16.7127171
