"species","lon","lat"
"Acacia Siebriana",29.5929883,-16.447275
"Acacia Siebriana",29.592935,-16.4470483
"Acacia Siebriana",29.5929683,-16.4470066
"Acacia Siebriana",29.592815,-16.4467416
"Pilostigma Thonigilii/Monkey Bread",29.5926733,-16.44658
"Acacia Siebriana",29.5924683,-16.4464183
"Acacia Siebriana",29.5924633,-16.446295
"Acacia Polycantha",29.592065,-16.446025
"Acacia Siebriana",29.5920467,-16.445935
"Fidebhia Abida",29.0252883,-17.0140416
"Munyii/Bechemia discolor",29.0337056,-17.0417961
"Pilostigma Thonigilii/Monkey Bread",29.0313952,-17.0518547
"Munyii/Bechemia discolor",29.0346765,-17.0486077
"Kigelia Africana",29.0352817,-17.0418015
"Waterberry",29.3034982,-16.9121323
"Waterberry",29.3034909,-16.9121994
"Pilostigma Thonigilii/Monkey Bread",29.6233677,-16.4712676
"Trichilia Emetica",29.8110639,-16.5518664
"Pilostigma Thonigilii/Monkey Bread",29.2556025,-16.998355
"Munyii/Bechemia discolor",29.2555457,-16.998649
"Acacia Polycantha",29.2554173,-16.9987757
"Acacia Polycantha",29.2553907,-16.9987667
"Acacia Polycantha",29.2554593,-16.9988894
"Acacia Polycantha",29.2554895,-16.9989179
"Pilostigma Thonigilii/Monkey Bread",29.2554741,-16.9989358
"Acacia Polycantha",29.2555098,-16.9989657
"Acacia Polycantha",29.2555493,-16.9989832
"Pilostigma Thonigilii/Monkey Bread",29.255673,-16.999127
"Acacia Polycantha",29.2543776,-17.0013258
"Acacia Polycantha",29.2543255,-17.0013344
"Acacia Polycantha",29.2543142,-17.0013327
"Acacia Polycantha",29.2543037,-17.0013365
"Acacia Polycantha",29.2542907,-17.0013087
"Acacia Polycantha",29.2542424,-17.0012877
"Acacia Polycantha",29.2542545,-17.0012862
"Acacia Polycantha",29.2542686,-17.0012769
"Acacia Polycantha",29.2542577,-17.0012723
"Acacia Polycantha",29.2542965,-17.0012476
"Acacia Polycantha",29.2544079,-17.0013983
"Pilostigma Thonigilii/Monkey Bread",29.2544013,-17.0013992
"Acacia Polycantha",29.2543607,-17.0014633
"Acacia Polycantha",29.2543112,-17.0014706
"Acacia Polycantha",29.2542336,-17.001349
"Acacia Polycantha",29.2541906,-17.0013361
"Acacia Polycantha",29.2541505,-17.0013685
"Acacia Polycantha",29.2541501,-17.0013837
"Pilostigma Thonigilii/Monkey Bread",29.2546885,-17.0015871
"None",29.2546788,-17.0017028
"Pilostigma Thonigilii/Monkey Bread",29.2546765,-17.00172
"Pilostigma Thonigilii/Monkey Bread",29.2546539,-17.0019773
"Pilostigma Thonigilii/Monkey Bread",29.2546981,-17.0020905
"Munyii/Bechemia discolor",29.254332,-17.0035572
"Pilostigma Thonigilii/Monkey Bread",29.2543126,-17.003593
"Pilostigma Thonigilii/Monkey Bread",29.2548563,-17.0022144
"Kigelia Africana",29.2553135,-17.0025045
"Kigelia Africana",29.255318,-17.0025107
"Pilostigma Thonigilii/Monkey Bread",29.2546662,-17.0026453
"Munyii/Bechemia discolor",29.2569193,-16.9990574
"Pilostigma Thonigilii/Monkey Bread",29.1874033,-17.0508776
"Acacia Siebriana",29.1893851,-17.0486169
"Pilostigma Thonigilii/Monkey Bread",29.1917108,-17.045604
"Acacia Siebriana",29.1920184,-17.0443862
"Acacia Siebriana",29.1939361,-17.0409264
"Munyii/Bechemia discolor",29.1940384,-17.0394452
"Munyii/Bechemia discolor",29.1933733,-17.0345873
"Munyii/Bechemia discolor",29.1979651,-17.0294561
"Acacia Polycantha",29.6239556,-16.3466086
"Acacia Polycantha",29.6240119,-16.3461529
"Acacia Polycantha",29.6240784,-16.3461484
"Pilostigma Thonigilii/Monkey Bread",29.6241602,-16.3462013
"Kigelia Africana",29.624205,-16.346255
"Acacia Polycantha",29.6241924,-16.3462465
"Pilostigma Thonigilii/Monkey Bread",29.6242959,-16.3460293
"Pilostigma Thonigilii/Monkey Bread",29.6243229,-16.3458919
"Pilostigma Thonigilii/Monkey Bread",29.6243301,-16.3458169
"Pilostigma Thonigilii/Monkey Bread",29.6241549,-16.3459114
"Pilostigma Thonigilii/Monkey Bread",29.624153,-16.3459408
"None",29.6236504,-16.346813
"Acacia Siebriana",29.6238207,-16.3651256
"Pilostigma Thonigilii/Monkey Bread",29.6237095,-16.3650728
"Acacia Siebriana",29.623612,-16.3649621
"Acacia Siebriana",29.6236463,-16.3649862
"Pilostigma Thonigilii/Monkey Bread",29.6236463,-16.3649862
"Pilostigma Thonigilii/Monkey Bread",29.6236463,-16.3649862
"Pilostigma Thonigilii/Monkey Bread",29.6236463,-16.3649862
"Pilostigma Thonigilii/Monkey Bread",29.6236463,-16.3649862
"Acacia Siebriana",29.6236463,-16.3649862
"Trichilia Emetica",29.6236223,-16.3650909
"Trichilia Emetica",29.6231757,-16.3655113
"Trichilia Emetica",29.623175,-16.3655169
"Trichilia Emetica",29.6231683,-16.3655352
"Trichilia Emetica",29.6231815,-16.3655561
"Trichilia Emetica",29.6231463,-16.3655848
"Trichilia Emetica",29.6231479,-16.3655967
"Trichilia Emetica",29.6231309,-16.3656265
"Trichilia Emetica",29.6231421,-16.3656471
"Trichilia Emetica",29.6294515,-16.3756356
"Trichilia Emetica",29.6231478,-16.3656671
"Trichilia Emetica",29.6231332,-16.3656824
"Kigelia Africana",29.6231595,-16.365831
"Pilostigma Thonigilii/Monkey Bread",29.6228912,-16.365697
"Pilostigma Thonigilii/Monkey Bread",29.6228762,-16.365577
"Pilostigma Thonigilii/Monkey Bread",29.6230445,-16.3655424
"Pilostigma Thonigilii/Monkey Bread",29.6230638,-16.3655118
"Pilostigma Thonigilii/Monkey Bread",29.6230613,-16.365493
"Pilostigma Thonigilii/Monkey Bread",29.6228994,-16.3654156
"Pilostigma Thonigilii/Monkey Bread",29.6229183,-16.3653867
"Pilostigma Thonigilii/Monkey Bread",29.622915,-16.365387
"Pilostigma Thonigilii/Monkey Bread",29.6229296,-16.3653969
"Pilostigma Thonigilii/Monkey Bread",29.6229289,-16.3654001
"Acacia Siebriana",29.6229515,-16.3653118
"Acacia Siebriana",29.6227864,-16.3652626
"Acacia Siebriana",29.6228138,-16.3652196
"Pilostigma Thonigilii/Monkey Bread",29.6226508,-16.3650467
"Acacia Polycantha",29.6225099,-16.3650896
"Acacia Siebriana",29.6222123,-16.3652861
"Acacia Siebriana",29.6217497,-16.3650787
"None",29.6222758,-16.3647235
"Acacia Polycantha",29.6230115,-16.3635022
"Pilostigma Thonigilii/Monkey Bread",29.6230115,-16.3635022
"Pilostigma Thonigilii/Monkey Bread",29.622561,-16.3637747
"Pilostigma Thonigilii/Monkey Bread",29.6225392,-16.3637558
"Kigelia Africana",29.6229649,-16.3636014
"Pilostigma Thonigilii/Monkey Bread",29.6233758,-16.3632794
"Acacia Siebriana",29.62339,-16.3634611
"Pilostigma Thonigilii/Monkey Bread",29.6234369,-16.3633833
"Pilostigma Thonigilii/Monkey Bread",29.6234515,-16.3641852
"Pilostigma Thonigilii/Monkey Bread",29.6234515,-16.3641852
"Pilostigma Thonigilii/Monkey Bread",29.6230998,-16.3640625
"Pilostigma Thonigilii/Monkey Bread",29.6230394,-16.3643914
"Pilostigma Thonigilii/Monkey Bread",29.6230601,-16.364375
"Pilostigma Thonigilii/Monkey Bread",29.623037,-16.3643819
"Pilostigma Thonigilii/Monkey Bread",29.6230675,-16.3644361
"Kigelia Africana",29.623065,-16.3644423
"Pilostigma Thonigilii/Monkey Bread",29.6230758,-16.364523
"Acacia Siebriana",29.6231568,-16.3647687
"Pilostigma Thonigilii/Monkey Bread",29.623886,-16.3645528
"Pilostigma Thonigilii/Monkey Bread",29.6238993,-16.3645587
"Pilostigma Thonigilii/Monkey Bread",29.6239044,-16.3645517
"Pilostigma Thonigilii/Monkey Bread",29.6258997,-16.3667368
"Kigelia Africana",29.6258807,-16.3667023
"Kigelia Africana",29.0410248,-17.0259949
"Pilostigma Thonigilii/Monkey Bread",29.0410586,-17.0255382
"Pilostigma Thonigilii/Monkey Bread",29.041258,-17.0255276
"Pilostigma Thonigilii/Monkey Bread",29.0413214,-17.0254747
"Pilostigma Thonigilii/Monkey Bread",29.0414016,-17.0254455
"Pilostigma Thonigilii/Monkey Bread",29.041502,-17.0254458
"Munyii/Bechemia discolor",29.0419805,-17.025411
"Pilostigma Thonigilii/Monkey Bread",29.0429194,-17.0243227
"Pilostigma Thonigilii/Monkey Bread",29.0432754,-17.0242047
"Munyii/Bechemia discolor",29.0449856,-17.0237086
"Pilostigma Thonigilii/Monkey Bread",29.0454486,-17.0238328
"Munyii/Bechemia discolor",29.0454962,-17.0244755
"Munyii/Bechemia discolor",29.0451811,-17.0248266
"Munyii/Bechemia discolor",29.0462116,-17.0253158
"Munyii/Bechemia discolor",29.0463746,-17.0251696
"Munyii/Bechemia discolor",29.0464936,-17.0250711
"Pilostigma Thonigilii/Monkey Bread",29.047007,-17.0248042
"Pilostigma Thonigilii/Monkey Bread",29.0471793,-17.0245167
"Munyii/Bechemia discolor",29.0470778,-17.0242351
"Acacia Siebriana",29.047393,-17.0230923
"Pilostigma Thonigilii/Monkey Bread",29.0491612,-17.0220591
"Pilostigma Thonigilii/Monkey Bread",29.0492757,-17.0219539
"Pilostigma Thonigilii/Monkey Bread",29.0494789,-17.0220148
"Acacia Siebriana",29.0495605,-17.021583
"Pilostigma Thonigilii/Monkey Bread",29.0495916,-17.0214882
"Pilostigma Thonigilii/Monkey Bread",29.049677,-17.0213348
"Munyii/Bechemia discolor",29.0512187,-17.0200398
"Munyii/Bechemia discolor",29.052477,-17.0204829
"Munyii/Bechemia discolor",29.0518332,-17.0181954
"Munyii/Bechemia discolor",29.0518667,-17.0181724
"Munyii/Bechemia discolor",29.0514691,-17.0181151
"Munyii/Bechemia discolor",29.0524155,-17.0183427
"Munyii/Bechemia discolor",29.0509975,-17.0232693
"Acacia Siebriana",29.6197602,-16.4633082
"Pilostigma Thonigilii/Monkey Bread",29.6197554,-16.4634217
"Pilostigma Thonigilii/Monkey Bread",29.6200749,-16.4636956
"Pilostigma Thonigilii/Monkey Bread",29.6202522,-16.4638945
"Pilostigma Thonigilii/Monkey Bread",29.6194955,-16.4632982
"Pilostigma Thonigilii/Monkey Bread",29.6188487,-16.463313
"Pilostigma Thonigilii/Monkey Bread",29.6185355,-16.4633644
"Pilostigma Thonigilii/Monkey Bread",29.6180153,-16.463408
"Pilostigma Thonigilii/Monkey Bread",29.6177913,-16.463459
"Pilostigma Thonigilii/Monkey Bread",29.6173462,-16.4635589
"Pilostigma Thonigilii/Monkey Bread",29.617175,-16.4635956
"Pilostigma Thonigilii/Monkey Bread",29.6171615,-16.4636
"Pilostigma Thonigilii/Monkey Bread",29.6139317,-16.4949316
"Pilostigma Thonigilii/Monkey Bread",29.61543,-16.4967383
"Pilostigma Thonigilii/Monkey Bread",29.615395,-16.4967733
"Acacia Siebriana",29.6105383,-16.5052
"Acacia Siebriana",29.6105433,-16.505235
"Pilostigma Thonigilii/Monkey Bread",29.6106017,-16.505305
"Acacia Polycantha",29.615385,-16.496255
"Pilostigma Thonigilii/Monkey Bread",29.4049247,-16.4001045
"Acacia Polycantha",29.403989,-16.3999353
"Acacia Polycantha",29.4038269,-16.399957
"Acacia Polycantha",29.4037781,-16.3999118
"Acacia Polycantha",29.4036972,-16.3998793
"Acacia Polycantha",29.4035869,-16.3999232
"Acacia Siebriana",29.4033735,-16.3996251
"Pilostigma Thonigilii/Monkey Bread",29.4029196,-16.3998742
"Acacia Polycantha",29.4032399,-16.3994852
"Pilostigma Thonigilii/Monkey Bread",29.4026334,-16.3996895
"Pilostigma Thonigilii/Monkey Bread",29.4029926,-16.3993649
"Acacia Polycantha",29.4028244,-16.3992972
"Pilostigma Thonigilii/Monkey Bread",29.4026022,-16.3992046
"Acacia Polycantha",29.4024484,-16.3991383
"Pilostigma Thonigilii/Monkey Bread",29.4018209,-16.3993387
"Acacia Polycantha",29.4015532,-16.399034
"Pilostigma Thonigilii/Monkey Bread",29.4011654,-16.3988309
"Munyii/Bechemia discolor",29.2741793,-16.692595
"Fidebhia Abida",29.273673,-16.694149
"Acacia Galpinii",29.2738433,-16.6942604
"Pilostigma Thonigilii/Monkey Bread",29.2715058,-16.6930918
"Acacia Galpinii",29.271508,-16.693083
"Acacia Galpinii",29.2761772,-16.695483
"Acacia Siebriana",29.6219231,-16.4629564
"Pilostigma Thonigilii/Monkey Bread",29.6278897,-16.4637116
"Acacia Siebriana",29.363595,-16.7630365
"Acacia Polycantha",29.3692275,-16.766228
"Acacia Siebriana",29.370209,-16.7671386
"Acacia Siebriana",29.3709573,-16.7683731
"Acacia Siebriana",29.3720538,-16.7688302
"Acacia Polycantha",29.372217,-16.7689496
"Kigelia Africana",29.3730088,-16.7693451
"Acacia Polycantha",29.3736386,-16.7696222
"Pilostigma Thonigilii/Monkey Bread",29.4328064,-16.7536825
"Acacia Polycantha",29.3985086,-16.7808737
"Munyii/Bechemia discolor",29.3978186,-16.7819438
"Acacia Polycantha",29.3975397,-16.7819635
"Acacia Polycantha",29.3971123,-16.7826653
"Acacia Polycantha",29.3970548,-16.7827575
"Acacia Polycantha",29.3969465,-16.7828817
"Acacia Polycantha",29.3967543,-16.7830212
"Acacia Polycantha",29.3965617,-16.783125
"Acacia Polycantha",29.3964492,-16.7831336
"Acacia Polycantha",29.3964627,-16.7835361
"Acacia Siebriana",29.3964189,-16.7829826
"Kigelia Africana",29.3956927,-16.7826114
"Acacia Polycantha",29.3956703,-16.7818606
"Acacia Polycantha",29.3956635,-16.7817655
"Pilostigma Thonigilii/Monkey Bread",29.3966322,-16.7813553
"Acacia Polycantha",29.3982837,-16.7808233
"Acacia Polycantha",29.3982854,-16.7806674
"Acacia Polycantha",29.3987418,-16.780479
"Pilostigma Thonigilii/Monkey Bread",29.4346806,-16.7647977
"Pilostigma Thonigilii/Monkey Bread",29.4342503,-16.7637039
"Pilostigma Thonigilii/Monkey Bread",29.4339476,-16.7628639
"Acacia Polycantha",29.3983673,-16.7819456
"Acacia Polycantha",29.3985633,-16.7819397
"Acacia Polycantha",29.3984311,-16.782144
"Acacia Siebriana",29.3983576,-16.7821987
"Acacia Polycantha",29.3983269,-16.7821889
"Acacia Polycantha",29.3982978,-16.7821193
"Acacia Polycantha",29.3984469,-16.7823387
"Acacia Polycantha",29.3985502,-16.7823539
"Acacia Polycantha",29.3984477,-16.7824328
"Acacia Polycantha",29.3984116,-16.7824307
"Acacia Polycantha",29.3984995,-16.78231
"Acacia Polycantha",29.3985469,-16.7824427
"Acacia Polycantha",29.3985819,-16.7824608
"Acacia Polycantha",29.3986375,-16.7824801
"Acacia Polycantha",29.3986605,-16.782488
"Acacia Polycantha",29.3987648,-16.7825024
"Acacia Polycantha",29.3988827,-16.7824759
"Acacia Polycantha",29.3989598,-16.7822893
"Acacia Polycantha",29.3987813,-16.7827951
"Acacia Polycantha",29.39876,-16.7828364
"Acacia Polycantha",29.3989126,-16.7829166
"Acacia Polycantha",29.3986963,-16.7828825
"Acacia Polycantha",29.3987203,-16.7827424
"Acacia Polycantha",29.3984168,-16.7824958
"Acacia Polycantha",29.3981384,-16.782282
"Acacia Polycantha",29.3980981,-16.7822441
"Acacia Polycantha",29.3980968,-16.782263
"Acacia Polycantha",29.3981171,-16.7821926
"Acacia Polycantha",29.3978342,-16.7823527
"Pilostigma Thonigilii/Monkey Bread",29.6300791,-16.3645947
"Pilostigma Thonigilii/Monkey Bread",29.6301745,-16.3646016
"Pilostigma Thonigilii/Monkey Bread",29.6302415,-16.364632
"Pilostigma Thonigilii/Monkey Bread",29.6302343,-16.3646454
"Pilostigma Thonigilii/Monkey Bread",29.6303543,-16.3646533
"Pilostigma Thonigilii/Monkey Bread",29.6303748,-16.3646762
"Pilostigma Thonigilii/Monkey Bread",29.6303524,-16.3647186
"Pilostigma Thonigilii/Monkey Bread",29.6309033,-16.364745
"Pilostigma Thonigilii/Monkey Bread",29.6309011,-16.3647296
"Pilostigma Thonigilii/Monkey Bread",29.6311785,-16.3646995
"Pilostigma Thonigilii/Monkey Bread",29.6311858,-16.364693
"Pilostigma Thonigilii/Monkey Bread",29.6315745,-16.3644598
"None",29.6331723,-16.3643405
"Pilostigma Thonigilii/Monkey Bread",29.6331282,-16.3643997
"Pilostigma Thonigilii/Monkey Bread",29.6335074,-16.364484
"Pilostigma Thonigilii/Monkey Bread",29.6339032,-16.363256
"Pilostigma Thonigilii/Monkey Bread",29.6339147,-16.3630231
"Pilostigma Thonigilii/Monkey Bread",29.6339148,-16.3630329
"Pilostigma Thonigilii/Monkey Bread",29.6339194,-16.3630286
"Pilostigma Thonigilii/Monkey Bread",29.6342224,-16.36344
"Pilostigma Thonigilii/Monkey Bread",29.6343254,-16.3636392
"Pilostigma Thonigilii/Monkey Bread",29.6343473,-16.3636608
"Pilostigma Thonigilii/Monkey Bread",29.6343587,-16.3636875
"Pilostigma Thonigilii/Monkey Bread",29.6346135,-16.3634238
"Pilostigma Thonigilii/Monkey Bread",29.6346425,-16.3634699
"Pilostigma Thonigilii/Monkey Bread",29.635487,-16.3635063
"Red Mahogany",29.6366577,-16.3631164
"Red Mahogany",29.6367594,-16.3630816
"Red Mahogany",29.6367905,-16.3630739
"Red Mahogany",29.6369803,-16.3630238
"Pilostigma Thonigilii/Monkey Bread",29.6381477,-16.3633575
"Pilostigma Thonigilii/Monkey Bread",29.6382066,-16.3634013
"Pilostigma Thonigilii/Monkey Bread",29.6383339,-16.3633047
"Pilostigma Thonigilii/Monkey Bread",29.6385869,-16.3631842
"Pilostigma Thonigilii/Monkey Bread",29.6396171,-16.3632053
"Pilostigma Thonigilii/Monkey Bread",29.6396588,-16.3630154
"Acacia Siebriana",29.6399394,-16.3627317
"Acacia Siebriana",29.6467255,-16.3709887
"Pilostigma Thonigilii/Monkey Bread",29.6443874,-16.3756146
"Pilostigma Thonigilii/Monkey Bread",29.644438,-16.3760113
"Pilostigma Thonigilii/Monkey Bread",29.644438,-16.3760113
"Pilostigma Thonigilii/Monkey Bread",29.6444511,-16.3760274
"Pilostigma Thonigilii/Monkey Bread",29.644262,-16.376038
"Pilostigma Thonigilii/Monkey Bread",29.6442314,-16.376088
"Pilostigma Thonigilii/Monkey Bread",29.6442106,-16.3761433
"Pilostigma Thonigilii/Monkey Bread",29.6442045,-16.3761559
"Pilostigma Thonigilii/Monkey Bread",29.6441939,-16.3761764
"Pilostigma Thonigilii/Monkey Bread",29.6441387,-16.3762709
"Pilostigma Thonigilii/Monkey Bread",29.6442002,-16.376499
"Pilostigma Thonigilii/Monkey Bread",29.6440446,-16.376572
"Pilostigma Thonigilii/Monkey Bread",29.6437359,-16.3772201
"Pilostigma Thonigilii/Monkey Bread",29.6415705,-16.3786265
"Pilostigma Thonigilii/Monkey Bread",29.6397974,-16.377202
"Pilostigma Thonigilii/Monkey Bread",29.639709,-16.3770752
"Pilostigma Thonigilii/Monkey Bread",29.6395939,-16.3769396
"Pilostigma Thonigilii/Monkey Bread",29.6391601,-16.3766841
"Pilostigma Thonigilii/Monkey Bread",29.6391958,-16.3765746
"Pilostigma Thonigilii/Monkey Bread",29.6389744,-16.376546
"Pilostigma Thonigilii/Monkey Bread",29.6389775,-16.3765241
"Pilostigma Thonigilii/Monkey Bread",29.6390144,-16.3763698
"Pilostigma Thonigilii/Monkey Bread",29.6389945,-16.3762149
"Pilostigma Thonigilii/Monkey Bread",29.6388001,-16.3763914
"Pilostigma Thonigilii/Monkey Bread",29.6386231,-16.3761801
"Pilostigma Thonigilii/Monkey Bread",29.6386027,-16.3761869
"Pilostigma Thonigilii/Monkey Bread",29.6385248,-16.3761339
"Pilostigma Thonigilii/Monkey Bread",29.6385111,-16.3761265
"Pilostigma Thonigilii/Monkey Bread",29.6376772,-16.374043
"Pilostigma Thonigilii/Monkey Bread",29.6364161,-16.3688297
"Pilostigma Thonigilii/Monkey Bread",29.6362342,-16.367063
"Pilostigma Thonigilii/Monkey Bread",29.6362441,-16.367052
"Pilostigma Thonigilii/Monkey Bread",29.6361546,-16.3670072
"Pilostigma Thonigilii/Monkey Bread",29.6361169,-16.3669612
"Acacia Polycantha",29.6357101,-16.366306
"Acacia Polycantha",29.6355045,-16.3660277
"Pilostigma Thonigilii/Monkey Bread",29.6354561,-16.3660186
"Pilostigma Thonigilii/Monkey Bread",29.6352133,-16.3662042
"Pilostigma Thonigilii/Monkey Bread",29.6350959,-16.3662998
"Pilostigma Thonigilii/Monkey Bread",29.6350623,-16.3663171
"Pilostigma Thonigilii/Monkey Bread",29.6350973,-16.3664043
"Red Mahogany",29.6349239,-16.3670045
"Pilostigma Thonigilii/Monkey Bread",29.6349316,-16.3668334
"Pilostigma Thonigilii/Monkey Bread",29.634897,-16.3668375
"Pilostigma Thonigilii/Monkey Bread",29.6349248,-16.3667388
"Pilostigma Thonigilii/Monkey Bread",29.6349306,-16.3667164
"Pilostigma Thonigilii/Monkey Bread",29.6348677,-16.3666949
"Red Mahogany",29.6347121,-16.3665702
"Pilostigma Thonigilii/Monkey Bread",29.6349202,-16.3665096
"Pilostigma Thonigilii/Monkey Bread",29.6350116,-16.3663886
"Pilostigma Thonigilii/Monkey Bread",29.6349717,-16.36636
"Pilostigma Thonigilii/Monkey Bread",29.6350058,-16.3663497
"Pilostigma Thonigilii/Monkey Bread",29.6350173,-16.3663322
"Pilostigma Thonigilii/Monkey Bread",29.6350138,-16.3663137
"Pilostigma Thonigilii/Monkey Bread",29.6350955,-16.3660778
"Pilostigma Thonigilii/Monkey Bread",29.6350684,-16.3659905
"Acacia Polycantha",29.6351841,-16.3658752
"Pilostigma Thonigilii/Monkey Bread",29.6350252,-16.3658272
"Acacia Polycantha",29.6349211,-16.3658615
"Acacia Polycantha",29.6345591,-16.365492
"Red Mahogany",29.6345349,-16.3654022
"Pilostigma Thonigilii/Monkey Bread",29.6346249,-16.3654394
"Acacia Polycantha",29.6346965,-16.3654224
"Red Mahogany",29.6346904,-16.3653352
"Acacia Polycantha",29.635036,-16.3653702
"Red Mahogany",29.6350696,-16.3652759
"Acacia Polycantha",29.6350907,-16.3653714
"Acacia Polycantha",29.6351033,-16.3653659
"Acacia Polycantha",29.63512,-16.3653656
"Red Mahogany",29.6351996,-16.3652154
"Red Mahogany",29.6353507,-16.3652359
"Pilostigma Thonigilii/Monkey Bread",29.6353664,-16.3653167
"Red Mahogany",29.6355097,-16.3652169
"Acacia Polycantha",29.6355319,-16.365307
"Acacia Polycantha",29.6356564,-16.3652664
"Red Mahogany",29.6360486,-16.365126
"Red Mahogany",29.636057,-16.3651052
"Acacia Polycantha",29.636096,-16.36486
"Acacia Polycantha",29.636113,-16.3647723
"Red Mahogany",29.6360815,-16.3646903
"Kigelia Africana",29.6361117,-16.3645738
"Acacia Polycantha",29.6361883,-16.3644344
"Acacia Polycantha",29.6361992,-16.3643957
"Red Mahogany",29.6362474,-16.3644237
"Red Mahogany",29.6362608,-16.3643762
"Pilostigma Thonigilii/Monkey Bread",29.6329354,-16.362902
"Pilostigma Thonigilii/Monkey Bread",29.6329475,-16.3628776
"Pilostigma Thonigilii/Monkey Bread",29.632938,-16.3628702
"Pilostigma Thonigilii/Monkey Bread",29.632857,-16.3627591
"Pilostigma Thonigilii/Monkey Bread",29.6327315,-16.3626946
"Pilostigma Thonigilii/Monkey Bread",29.6326312,-16.3627307
"Pilostigma Thonigilii/Monkey Bread",29.6328514,-16.3653663
"Acacia Polycantha",29.6330446,-16.3659034
"Kigelia Africana",29.6330531,-16.367298
"Pilostigma Thonigilii/Monkey Bread",29.6330516,-16.3673721
"Pilostigma Thonigilii/Monkey Bread",29.6330351,-16.3673861
"Pilostigma Thonigilii/Monkey Bread",29.6315169,-16.3700509
"Pilostigma Thonigilii/Monkey Bread",29.63151,-16.3700304
"Pilostigma Thonigilii/Monkey Bread",29.6314916,-16.3699853
"Pilostigma Thonigilii/Monkey Bread",29.6314024,-16.369978
"Pilostigma Thonigilii/Monkey Bread",29.6312169,-16.3698414
"Pilostigma Thonigilii/Monkey Bread",29.6311916,-16.3696064
"Pilostigma Thonigilii/Monkey Bread",29.6312136,-16.3695834
"Pilostigma Thonigilii/Monkey Bread",29.6311367,-16.3695621
"Pilostigma Thonigilii/Monkey Bread",29.6304582,-16.3686409
"Pilostigma Thonigilii/Monkey Bread",29.6303364,-16.3686736
"Pilostigma Thonigilii/Monkey Bread",29.6302354,-16.3686896
"Pilostigma Thonigilii/Monkey Bread",29.6302021,-16.3686416
"Trichilia Emetica",29.6302028,-16.3686193
"Pilostigma Thonigilii/Monkey Bread",29.6301873,-16.3684566
"Pilostigma Thonigilii/Monkey Bread",29.6301944,-16.3684217
"Pilostigma Thonigilii/Monkey Bread",29.6300438,-16.3683621
"Pilostigma Thonigilii/Monkey Bread",29.6301583,-16.3682033
"Pilostigma Thonigilii/Monkey Bread",29.6300768,-16.3679636
"Pilostigma Thonigilii/Monkey Bread",29.6300458,-16.3679432
"Pilostigma Thonigilii/Monkey Bread",29.6301185,-16.3673478
"Pilostigma Thonigilii/Monkey Bread",29.6300752,-16.3672426
"Pilostigma Thonigilii/Monkey Bread",29.6299738,-16.3672333
"Pilostigma Thonigilii/Monkey Bread",29.6301222,-16.3671681
"Pilostigma Thonigilii/Monkey Bread",29.6301516,-16.3668692
"Pilostigma Thonigilii/Monkey Bread",29.6302512,-16.366835
"Pilostigma Thonigilii/Monkey Bread",29.6302901,-16.3667851
"Pilostigma Thonigilii/Monkey Bread",29.6304839,-16.3667545
"Pilostigma Thonigilii/Monkey Bread",29.6305289,-16.3668049
"Pilostigma Thonigilii/Monkey Bread",29.6305039,-16.3667032
"Pilostigma Thonigilii/Monkey Bread",29.6303127,-16.3665463
"Pilostigma Thonigilii/Monkey Bread",29.6302075,-16.3665767
"Pilostigma Thonigilii/Monkey Bread",29.6301816,-16.3664988
"Pilostigma Thonigilii/Monkey Bread",29.6298199,-16.3670338
"Pilostigma Thonigilii/Monkey Bread",29.629722,-16.36701
"Pilostigma Thonigilii/Monkey Bread",29.62964,-16.3669936
"Pilostigma Thonigilii/Monkey Bread",29.6296013,-16.3669833
"Pilostigma Thonigilii/Monkey Bread",29.629584,-16.3668899
"Acacia Polycantha",29.6295814,-16.3668388
"Acacia Siebriana",29.6296203,-16.3667792
"Acacia Polycantha",29.6295072,-16.3668345
"Pilostigma Thonigilii/Monkey Bread",29.6293997,-16.3667619
"Pilostigma Thonigilii/Monkey Bread",29.6293456,-16.3667705
"Pilostigma Thonigilii/Monkey Bread",29.6292545,-16.3668284
"Pilostigma Thonigilii/Monkey Bread",29.6292386,-16.3668414
"Pilostigma Thonigilii/Monkey Bread",29.6292256,-16.3668585
"Acacia Polycantha",29.6292422,-16.3669015
"Acacia Polycantha",29.6291119,-16.3667514
"Pilostigma Thonigilii/Monkey Bread",29.6291301,-16.3667772
"Acacia Polycantha",29.6291345,-16.3666602
"Acacia Polycantha",29.6290713,-16.366772
"Acacia Polycantha",29.6286278,-16.3664995
"Trichilia Emetica",29.6286262,-16.3664435
"Acacia Galpinii",29.8244913,-16.5529183
"Acacia Galpinii",29.8245498,-16.5528741
"Acacia Galpinii",29.8246028,-16.553017
"Pilostigma Thonigilii/Monkey Bread",29.8248024,-16.5527933
"Pilostigma Thonigilii/Monkey Bread",29.8248879,-16.5528013
"Pilostigma Thonigilii/Monkey Bread",29.8249198,-16.5527937
"Pilostigma Thonigilii/Monkey Bread",29.8249034,-16.5528603
"Pilostigma Thonigilii/Monkey Bread",29.8249501,-16.5528558
"Pilostigma Thonigilii/Monkey Bread",29.8249662,-16.552815
"Pilostigma Thonigilii/Monkey Bread",29.8263665,-16.5524983
"Pilostigma Thonigilii/Monkey Bread",29.8266315,-16.5524165
"Pilostigma Thonigilii/Monkey Bread",29.8266875,-16.552454
